Topic,temperature1,temperature2,AverageSimilarity
7,1.75,0.75,0.5633623
7,1.75,1.0,0.5031792
7,1.75,1.25,0.5417699
7,1.75,1.5,0.536953
7,1.75,1.75,0.5378085
7,1.75,2.0,0.44005975
7,2.0,0.0,0.49190262
7,2.0,0.25,0.49733692
7,2.0,0.5,0.490912
7,2.0,0.75,0.48089543
7,2.0,1.0,0.45818394
7,2.0,1.25,0.48040047
7,2.0,1.5,0.4579766
7,2.0,1.75,0.44005978
7,2.0,2.0,0.43720287
8,0.0,0.0,1.0
8,0.0,0.25,0.982532
8,0.0,0.5,0.94759595
8,0.0,0.75,0.8951921
8,0.0,1.0,0.895192
8,0.0,1.25,0.9217916
8,0.0,1.5,0.81302714
8,0.0,1.75,0.7780799
8,0.0,2.0,0.72180176
8,0.25,0.0,0.982532
8,0.25,0.25,0.9668108
8,0.25,0.5,0.93536836
8,0.25,0.75,0.8882049
8,0.25,1.0,0.8882048
8,0.25,1.25,0.9123315
8,0.25,1.5,0.8087944
8,0.25,1.75,0.7677451
8,0.25,2.0,0.7182683
8,0.5,0.0,0.94759595
8,0.5,0.25,0.9353685
8,0.5,0.5,0.9109132
8,0.5,0.75,0.8742305
8,0.5,1.0,0.8742305
8,0.5,1.25,0.8934114
8,0.5,1.5,0.80032885
8,0.5,1.75,0.7470753
8,0.5,2.0,0.7112014
8,0.75,0.0,0.895192
8,0.75,0.25,0.8882049
8,0.75,0.5,0.87423044
8,0.75,0.75,0.85326886
8,0.75,1.0,0.85326886
8,0.75,1.25,0.8650313
8,0.75,1.5,0.7876306
8,0.75,1.75,0.7160707
8,0.75,2.0,0.70060104
8,1.0,0.0,0.8951921
8,1.0,0.25,0.8882049
8,1.0,0.5,0.8742305
8,1.0,0.75,0.85326886
8,1.0,1.0,0.85326886
8,1.0,1.25,0.8650313
8,1.0,1.5,0.7876306
8,1.0,1.75,0.71607065
8,1.0,2.0,0.70060104
8,1.25,0.0,0.9217917
8,1.25,0.25,0.9123315
8,1.25,0.5,0.89341146
8,1.25,0.75,0.8650313
8,1.25,1.0,0.8650313
8,1.25,1.25,0.88053155
8,1.25,1.5,0.7951886
8,1.25,1.75,0.7312624
8,1.25,2.0,0.70704794
8,1.5,0.0,0.81302714
8,1.5,0.25,0.8087944
8,1.5,0.5,0.8003289
8,1.5,0.75,0.7876306
8,1.5,1.0,0.7876306
8,1.5,1.25,0.7951886
8,1.5,1.5,0.73762983
8,1.5,1.75,0.6598013
8,1.5,2.0,0.65192145
8,1.75,0.0,0.77808
8,1.75,0.25,0.7677451
8,1.75,0.5,0.7470753
8,1.75,0.75,0.71607065
8,1.75,1.0,0.7160707
8,1.75,1.25,0.7312624
8,1.75,1.5,0.65980124
8,1.75,1.75,0.6429825
8,1.75,2.0,0.60199386
8,2.0,0.0,0.72180176
8,2.0,0.25,0.7182683
8,2.0,0.5,0.7112014
8,2.0,0.75,0.70060104
8,2.0,1.0,0.70060104
8,2.0,1.25,0.70704794
8,2.0,1.5,0.65192145
8,2.0,1.75,0.60199386
8,2.0,2.0,0.6080082
9,0.0,0.0,1.0000001
9,0.0,0.25,1.0000001
9,0.0,0.5,1.0000001
9,0.0,0.75,1.0000001
9,0.0,1.0,0.9751722
9,0.0,1.25,1.0000001
9,0.0,1.5,1.0000001
9,0.0,1.75,0.9940166
9,0.0,2.0,0.8995151
9,0.25,0.0,1.0000001
9,0.25,0.25,1.0000001
9,0.25,0.5,1.0000001
9,0.25,0.75,1.0000001
9,0.25,1.0,0.9751722
9,0.25,1.25,1.0000001
9,0.25,1.5,1.0000001
9,0.25,1.75,0.9940166
9,0.25,2.0,0.8995151
9,0.5,0.0,1.0000001
9,0.5,0.25,1.0000001
9,0.5,0.5,1.0000001
9,0.5,0.75,1.0000001
9,0.5,1.0,0.9751722
9,0.5,1.25,1.0000001
9,0.5,1.5,1.0000001
9,0.5,1.75,0.9940166
9,0.5,2.0,0.8995151
9,0.75,0.0,1.0000001
9,0.75,0.25,1.0000001
9,0.75,0.5,1.0000001
9,0.75,0.75,1.0000001
9,0.75,1.0,0.9751722
9,0.75,1.25,1.0000001
9,0.75,1.5,1.0000001
9,0.75,1.75,0.9940166
9,0.75,2.0,0.8995151
9,1.0,0.0,0.9751721
9,1.0,0.25,0.9751721
9,1.0,0.5,0.9751721
9,1.0,0.75,0.9751721
9,1.0,1.0,0.9528271
9,1.0,1.25,0.9751721
9,1.0,1.5,0.9751721
9,1.0,1.75,0.9692731
9,1.0,2.0,0.8777834
9,1.25,0.0,1.0000001
9,1.25,0.25,1.0000001
9,1.25,0.5,1.0000001
9,1.25,0.75,1.0000001
9,1.25,1.0,0.9751722
9,1.25,1.25,1.0000001
9,1.25,1.5,1.0000001
9,1.25,1.75,0.9940166
9,1.25,2.0,0.8995151
9,1.5,0.0,1.0000001
